timestamp_utc_gps,timestamp_utc_local,latitude_dd,longitude_dd,altitude_m,bearing_deg,accuracy_m, speed_ms, speed_accuracy_ms
1696540449687,1696540450352,32.83800119295953,-84.81543003774972,368.5456947398322,32.30055,12.0,0.05305739,0.43743613
1696540449687,1696540450454,32.83800119295953,-84.81543003774972,368.5456947398322,32.30055,12.0,0.05305739,0.43743613
1696540449687,1696540450555,32.83800119295953,-84.81543003774972,368.5456947398322,32.30055,12.0,0.05305739,0.43743613
1696540449687,1696540450656,32.83800119295953,-84.81543003774972,368.5456947398322,32.30055,12.0,0.05305739,0.43743613
1696540449687,1696540450757,32.83800119295953,-84.81543003774972,368.5456947398322,32.30055,12.0,0.05305739,0.43743613
1696540449687,1696540450857,32.83800119295953,-84.81543003774972,368.5456947398322,32.30055,12.0,0.05305739,0.43743613
1696540449687,1696540450959,32.83800119295953,-84.81543003774972,368.5456947398322,32.30055,12.0,0.05305739,0.43743613
1696540449687,1696540451061,32.83800119295953,-84.81543003774972,368.5456947398322,32.30055,12.0,0.05305739,0.43743613
1696540450695,1696540451163,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540450695,1696540451265,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540450695,1696540451365,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540450695,1696540451466,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540450695,1696540451569,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540450695,1696540451670,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540450695,1696540451773,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540450695,1696540451873,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540450695,1696540451975,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540450695,1696540452076,32.838011820881015,-84.81541375808122,366.88298061896285,37.436535,12.0,0.3907431,0.44019532
1696540451704,1696540452177,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540451704,1696540452278,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540451704,1696540452378,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540451704,1696540452479,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540451704,1696540452582,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540451704,1696540452683,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540451704,1696540452784,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540451704,1696540452886,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540451704,1696540452987,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540451704,1696540453088,32.83801929351835,-84.81539967917574,368.0226483781441,29.0265,24.0,0.82747287,0.40611827
1696540452704,1696540453189,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540452704,1696540453290,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540452704,1696540453392,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540452704,1696540453494,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540452704,1696540453595,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540452704,1696540453696,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540452704,1696540453798,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540452704,1696540453899,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540452704,1696540454001,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540452704,1696540454103,32.837987924095245,-84.81541311423015,367.88739244821096,33.719315,8.0,1.2150477,0.4308441
1696540453695,1696540454205,32.83800191598266,-84.8154085382147,366.82203545834744,51.37064,12.0,2.0547748,0.67372435
1696540453695,1696540454307,32.83800191598266,-84.8154085382147,366.82203545834744,51.37064,12.0,2.0547748,0.67372435
1696540453695,1696540454408,32.83800191598266,-84.8154085382147,366.82203545834744,51.37064,12.0,2.0547748,0.67372435
1696540453695,1696540454510,32.83800191598266,-84.8154085382147,366.82203545834744,51.37064,12.0,2.0547748,0.67372435
1696540453695,1696540454612,32.83800191598266,-84.8154085382147,366.82203545834744,51.37064,12.0,2.0547748,0.67372435
1696540453695,1696540454714,32.83800191598266,-84.8154085382147,366.82203545834744,51.37064,12.0,2.0547748,0.67372435
1696540453695,1696540454816,32.83800191598266,-84.8154085382147,366.82203545834744,51.37064,12.0,2.0547748,0.67372435
1696540453695,1696540454920,32.83800191598266,-84.8154085382147,366.82203545834744,51.37064,12.0,2.0547748,0.67372435
1696540453695,1696540455021,32.83800191598266,-84.8154085382147,366.82203545834744,51.37064,12.0,2.0547748,0.67372435
